driver_id,total_km,avg_speed_kmph,hard_braking_events,hard_accel_events,night_driving_pct,phone_use_events,previous_claims,claim_amount_last_3y,claim_amount
1,1486.0,53.4,3,6,34.8,2,0,0.0,40427.0
2,2458.0,25.0,5,4,19.9,2,1,62989.0,26669.0
3,1210.0,41.1,9,2,24.6,2,1,53907.0,14634.0
4,407.0,63.3,1,1,7.6,2,0,0.0,22178.0
5,1124.0,33.1,8,3,25.7,2,0,0.0,16545.0
6,1116.0,71.4,5,3,18.8,2,0,0.0,13383.0
7,724.0,42.4,5,2,5.3,2,0,0.0,14696.0
8,378.0,64.7,1,1,40.7,2,2,65426.0,35893.0
9,999.0,43.2,5,3,0.0,2,0,0.0,20312.0
10,318.0,31.3,3,2,8.2,2,1,16912.0,13145.0
11,940.0,55.0,5,4,19.0,2,0,0.0,10216.0
12,1033.0,57.7,5,1,10.0,2,0,0.0,0.0
13,4500.0,48.1,22,11,0.4,2,1,24395.0,14149.0
14,2057.0,62.3,10,2,0.0,2,2,92832.0,23464.0
15,1812.0,61.7,7,4,27.5,2,1,72825.0,21796.0
16,1424.0,43.8,9,5,20.4,2,1,66363.0,20776.0
17,903.0,58.6,4,1,32.2,2,0,0.0,14577.0
18,875.0,56.2,2,2,0.0,2,0,0.0,8713.0
19,744.0,55.0,2,3,54.2,2,0,0.0,20948.0
20,1730.0,51.8,7,7,7.2,2,1,66874.0,8537.0
21,2482.0,47.2,13,8,23.4,2,1,40788.0,30155.0
22,857.0,40.4,6,0,25.9,2,2,98256.0,13149.0
23,988.0,57.0,4,1,16.4,2,0,0.0,22207.0
24,1637.0,56.1,3,3,14.7,2,0,0.0,7290.0
25,2574.0,64.1,10,5,30.1,2,0,0.0,17968.0
26,2691.0,45.0,11,12,0.0,2,1,39221.0,18253.0
27,4085.0,60.5,13,14,0.0,2,1,80547.0,38249.0
28,1636.0,41.3,6,2,8.0,2,1,21954.0,20920.0
29,1698.0,38.7,6,11,33.7,2,0,0.0,36812.0
30,2296.0,30.7,10,6,7.5,2,0,0.0,42406.0
31,670.0,54.5,1,0,38.0,2,0,0.0,3597.0
32,1759.0,60.1,4,8,6.8,2,2,45352.0,20123.0
33,1140.0,35.8,2,5,1.6,2,1,35317.0,19038.0
34,1864.0,37.2,8,6,19.2,2,0,0.0,12823.0
35,1026.0,35.1,8,3,0.0,2,2,165298.0,18615.0
36,1098.0,48.9,5,1,27.5,2,1,25626.0,15586.0
37,723.0,25.0,3,2,11.6,2,0,0.0,18381.0
38,2234.0,59.9,5,7,26.5,2,1,50468.0,12894.0
39,1646.0,34.9,7,3,22.2,2,0,0.0,16107.0
40,1630.0,41.2,6,5,59.1,2,0,0.0,37443.0
41,647.0,33.7,5,1,43.6,2,2,114110.0,20192.0
42,1062.0,49.7,2,4,7.2,2,2,56309.0,28050.0
43,2294.0,58.4,10,5,8.6,2,1,54697.0,20673.0
44,2867.0,57.9,17,2,11.5,2,0,0.0,12523.0
45,1859.0,50.4,5,2,12.0,2,0,0.0,29666.0
46,804.0,53.6,4,2,16.3,2,0,0.0,13913.0
47,1809.0,50.2,8,10,27.3,2,0,0.0,18982.0
48,2028.0,53.6,9,2,0.7,2,0,0.0,11440.0
49,771.0,55.3,8,4,0.0,2,1,61776.0,2927.0
50,1010.0,29.7,5,3,6.0,2,0,0.0,10293.0
51,1486.0,55.5,5,10,3.0,2,0,0.0,19481.0
52,2255.0,38.1,10,6,10.8,2,0,0.0,26727.0
53,1151.0,48.0,3,2,0.0,2,1,37088.0,9193.0
54,411.0,54.0,2,0,34.0,2,1,80425.0,16686.0
55,893.0,42.6,4,1,27.3,2,0,0.0,23615.0
56,1878.0,54.0,9,2,8.9,2,1,25613.0,18616.0
57,928.0,47.1,4,4,31.7,2,0,0.0,22832.0
58,811.0,29.5,5,4,36.7,2,1,25590.0,20291.0
59,699.0,42.4,5,1,22.9,2,1,32650.0,25653.0
60,801.0,43.7,3,2,39.2,2,1,76185.0,18754.0
61,884.0,40.2,5,1,17.7,2,1,68341.0,10649.0
62,1345.0,53.9,5,2,46.2,2,0,0.0,14694.0
63,437.0,34.7,2,1,8.9,2,1,64695.0,14900.0
64,438.0,37.7,0,0,13.8,2,4,194796.0,24094.0
65,411.0,49.4,0,3,0.0,2,0,0.0,27004.0
66,1292.0,54.4,7,2,20.5,2,0,0.0,21462.0
67,1032.0,61.2,6,4,32.9,2,0,0.0,18771.0
68,618.0,40.5,4,1,23.6,2,0,0.0,2505.0
69,2141.0,25.0,3,6,35.9,2,0,0.0,14765.0
70,2100.0,63.2,6,3,30.1,2,1,38750.0,0.0
71,1693.0,43.3,5,5,17.1,2,3,199398.0,17986.0
72,1191.0,60.3,4,2,28.5,2,0,0.0,28966.0
73,371.0,58.0,1,0,10.0,2,0,0.0,21330.0
74,1806.0,36.7,9,5,43.3,2,2,170094.0,16220.0
75,1700.0,36.5,4,4,27.1,2,1,56407.0,19995.0
76,817.0,43.3,4,3,22.6,2,0,0.0,21919.0
77,562.0,38.4,0,1,16.1,2,0,0.0,15783.0
78,1878.0,68.5,7,2,0.0,2,0,0.0,11939.0
79,1061.0,37.2,3,3,16.4,2,0,0.0,5549.0
80,3255.0,69.1,8,11,41.8,2,2,173004.0,18269.0
81,557.0,37.8,4,5,3.1,2,0,0.0,22471.0
82,893.0,26.2,7,4,27.4,2,0,0.0,16562.0
83,941.0,26.8,5,5,73.1,2,0,0.0,22344.0
84,942.0,40.0,4,5,7.2,2,0,0.0,17579.0
85,911.0,25.9,6,1,1.1,2,1,50498.0,32306.0
86,885.0,25.0,2,3,15.8,2,0,0.0,2996.0
87,702.0,30.3,3,2,0.0,2,0,0.0,0.0
88,180.0,60.5,0,1,18.6,2,1,39640.0,0.0
89,1111.0,39.7,3,3,18.0,2,0,0.0,6637.0
90,1354.0,54.6,9,2,12.2,2,2,39555.0,26714.0
91,1283.0,30.4,7,5,16.8,2,0,0.0,13480.0
92,578.0,58.5,1,4,31.8,2,0,0.0,0.0
93,1680.0,36.3,4,2,24.1,2,0,0.0,20386.0
94,3896.0,42.7,13,12,48.5,2,0,0.0,35410.0
95,2421.0,46.9,10,5,21.5,2,0,0.0,30282.0
96,512.0,46.1,0,3,0.5,2,0,0.0,10725.0
97,842.0,47.9,3,1,12.1,2,0,0.0,18599.0
98,706.0,55.5,2,0,9.0,2,0,0.0,19648.0
99,1750.0,36.0,5,4,29.3,2,0,0.0,17329.0
100,1083.0,37.0,5,3,6.5,2,0,0.0,21674.0
101,1074.0,46.7,4,3,16.7,2,0,0.0,22935.0
102,2524.0,44.7,10,5,33.3,2,0,0.0,17853.0
103,1885.0,31.3,6,4,9.9,2,1,79817.0,37822.0
104,1025.0,66.4,4,5,5.6,2,0,0.0,27384.0
105,2515.0,25.0,13,5,40.1,2,1,50255.0,47136.0
106,545.0,52.1,3,1,6.9,2,0,0.0,29823.0
107,2151.0,45.0,3,6,3.5,2,0,0.0,14662.0
108,535.0,39.2,3,1,44.0,2,0,0.0,20221.0
109,3207.0,35.2,14,6,4.0,2,1,18834.0,27876.0
110,1463.0,56.0,8,2,0.0,2,0,0.0,30340.0
111,850.0,73.9,1,4,11.6,2,0,0.0,21541.0
112,932.0,51.6,3,1,0.0,2,0,0.0,19241.0
113,659.0,58.2,1,1,31.4,2,0,0.0,13540.0
114,870.0,25.0,2,2,0.0,2,1,20219.0,3254.0
115,1331.0,43.9,8,2,0.0,2,1,61404.0,36841.0
116,838.0,54.1,4,0,23.5,2,1,53279.0,25905.0
117,1659.0,47.4,7,1,45.7,2,1,26991.0,12894.0
118,1047.0,59.0,2,8,0.0,2,0,0.0,14917.0
119,701.0,58.6,2,2,8.1,2,2,126727.0,13177.0
120,1298.0,52.2,6,2,0.0,2,0,0.0,4067.0
121,660.0,40.2,1,2,0.0,2,0,0.0,15365.0
122,666.0,39.3,3,2,0.2,2,0,0.0,16789.0
123,359.0,25.0,2,1,33.6,2,1,17495.0,16134.0
124,1366.0,48.9,4,2,23.7,2,0,0.0,9427.0
125,322.0,52.2,3,1,6.3,2,1,37899.0,13803.0
126,3467.0,54.1,10,6,9.0,2,0,0.0,30460.0
127,983.0,61.4,6,2,7.5,2,0,0.0,8284.0
128,1764.0,51.4,5,11,27.1,2,0,0.0,23574.0
129,2620.0,30.2,11,11,18.3,2,2,174433.0,17584.0
130,841.0,62.7,3,4,37.6,2,0,0.0,25218.0
131,1244.0,38.0,8,2,0.0,2,0,0.0,15019.0
132,423.0,25.0,1,1,10.2,2,2,144048.0,27071.0
133,971.0,55.8,0,4,17.7,2,1,54180.0,25424.0
134,3056.0,42.3,14,4,0.7,2,0,0.0,12640.0
135,784.0,47.1,2,0,0.0,2,0,0.0,22013.0
136,869.0,54.2,0,4,0.0,2,1,76575.0,18821.0
137,1536.0,67.4,10,3,4.2,2,2,151372.0,23714.0
138,405.0,25.0,0,1,32.1,2,0,0.0,6415.0
139,834.0,41.7,2,1,0.0,2,0,0.0,8567.0
140,1012.0,49.2,3,3,0.0,2,0,0.0,28937.0
141,2694.0,26.9,11,12,22.5,2,1,45111.0,14383.0
142,1144.0,59.1,7,7,18.6,2,1,49283.0,6584.0
143,3126.0,58.6,10,7,12.6,2,1,74419.0,29969.0
144,903.0,67.2,1,3,10.9,2,0,0.0,18096.0
145,1625.0,38.4,12,0,9.0,2,0,0.0,20516.0
146,992.0,31.2,4,3,9.6,2,0,0.0,12457.0
147,1981.0,39.6,12,2,0.0,2,2,91931.0,25596.0
148,802.0,42.6,2,4,14.9,2,0,0.0,35361.0
149,472.0,62.3,1,0,21.6,2,0,0.0,28120.0
150,1283.0,56.1,8,3,24.2,2,0,0.0,19171.0
151,685.0,32.9,5,1,0.0,2,0,0.0,24039.0
152,732.0,65.5,2,3,37.6,2,2,88720.0,15891.0
153,1562.0,44.5,5,4,34.5,2,3,172211.0,12596.0
154,485.0,34.9,2,0,28.8,2,1,57120.0,5948.0
155,449.0,41.0,2,2,23.3,2,1,47610.0,24195.0
156,723.0,50.7,2,5,15.5,2,0,0.0,19690.0
157,2224.0,42.1,12,4,14.0,2,1,34582.0,22201.0
158,603.0,28.8,5,2,32.2,2,1,55295.0,10761.0
